articleLink,articleTitle
https://news.google.com/./articles/CBMinwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL2luc3RhZ3JhbW1lci1vZi10aGUtd2Vlay1kaXBpa2Eta2FrYXItdG8tamFubmF0LXp1YmFpci10di1jZWxlYnMtZWxlZ2FudC1yYW16YW4tbG9va3MvcGhvdG9zdG9yeS83NTkxNTMyNy5jbXPSAZwBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9pbnN0YWdyYW1tZXItb2YtdGhlLXdlZWstZGlwaWthLWtha2FyLXRvLWphbm5hdC16dWJhaXItdHYtY2VsZWJzLWVsZWdhbnQtcmFtemFuLWxvb2tzL2FtcF9ldHBob3Rvc3RvcnkvNzU5MTUzMjcuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,Instagrammer of the week: Dipika Kakar to Jannat Zubair; TV celebs’ elegant Ramzan looks
https://news.google.com/./articles/CBMilgFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL3JvaGFuLW1laHJhLXRvLWJlLXBhaXJlZC1vcHBvc2l0ZS1qYW5uYXQtenViYWlyLXJlaG1hbmktaW4tdXBjb21pbmctcHJvamVjdC9hcnRpY2xlc2hvdy83MDY3NzM3Ni5jbXPSAZEBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9yb2hhbi1tZWhyYS10by1iZS1wYWlyZWQtb3Bwb3NpdGUtamFubmF0LXp1YmFpci1yZWhtYW5pLWluLXVwY29taW5nLXByb2plY3QvYW1wX2FydGljbGVzaG93LzcwNjc3Mzc2LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,Rohan Mehra to be paired opposite Jannat Zubair Rehmani in upcoming project
https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy9qYW5uYXQtenViYWlyLXJlaG1hbmktYW5kLWFqYXota2hhbi1zaG9vdC10b2tlcnMtaG91c2UtcHJvbW8tMTkxMDE40gFvaHR0cHM6Ly93d3cudGVsbHljaGFra2FyLmNvbS90di90di1uZXdzL2phbm5hdC16dWJhaXItcmVobWFuaS1hbmQtYWphei1raGFuLXNob290LXRva2Vycy1ob3VzZS1wcm9tby0xOTEwMTg_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rehmani and Ajaz Khan shoot for Tokers House promo
https://news.google.com/./articles/CAIiEK-8oqQHDmQAI26x71D7EyAqGQgEKhAIACoHCAowioaGCzD-vYMDMLfKsQY?hl=en-IN&gl=IN&ceid=IN%3Aen,TikTok Star Jannat Zubair's Ramzan Routine; Lady Doles Out A Positive Video Amid Call For #TikTokBanInIndia
https://news.google.com/./articles/CAIiEDhCJYwroCJkOpgWf6amjigqGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,5 Honest Reasons Why Boys Love Jannat Zubair
https://news.google.com/./articles/CAIiEK_nh3dSk2riZn7vwEaYxjMqGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,Moments Jannat Zubair won our hearts over and over again
https://news.google.com/./articles/CBMirQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL2Zvci1qYW5uYXQtenViYWlyLXJlaG1hbmktYW5kLWF5YWFuLXp1YmFpci1yZWhtYW5pLXJha3NoYWJhbmRoYW4tbWVhbnMtYW5ub3ktdGVhc2UtbG92ZS1hbmQtcmVwZWF0L2FydGljbGVzaG93LzY1NTQxOTUxLmNtc9IBqAFodHRwczovL20udGltZXNvZmluZGlhLmNvbS90di9uZXdzL2hpbmRpL2Zvci1qYW5uYXQtenViYWlyLXJlaG1hbmktYW5kLWF5YWFuLXp1YmFpci1yZWhtYW5pLXJha3NoYWJhbmRoYW4tbWVhbnMtYW5ub3ktdGVhc2UtbG92ZS1hbmQtcmVwZWF0L2FtcF9hcnRpY2xlc2hvdy82NTU0MTk1MS5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,"For Jannat Zubair Rehmani and Ayaan Zubair Rehmani, Rakshabandhan is all about teasing and loving each ot"
https://news.google.com/./articles/CBMiqwFodHRwczovL3d3dy5zcG90Ym95ZS5jb20vdGVsZXZpc2lvbi90ZWxldmlzaW9uLW5ld3MvdHYtYWN0cmVzcy1qYW5uYXQtenViYWlyLWdldHMtc2xhcHBlZC1ieS1hLWdpcmwtaW4taGVyLWxhdGVzdC12aWRlby1oZXItcmVhY3Rpb24taXMtZXBpYy13YXRjaC81ZTJlYmYyMmQ5OTY0NzFhZDgxNGVkNDDSAa8BaHR0cHM6Ly93d3cuc3BvdGJveWUuY29tL2FtcC90ZWxldmlzaW9uL3RlbGV2aXNpb24tbmV3cy90di1hY3RyZXNzLWphbm5hdC16dWJhaXItZ2V0cy1zbGFwcGVkLWJ5LWEtZ2lybC1pbi1oZXItbGF0ZXN0LXZpZGVvLWhlci1yZWFjdGlvbi1pcy1lcGljLXdhdGNoLzVlMmViZjIyZDk5NjQ3MWFkODE0ZWQ0MA?hl=en-IN&gl=IN&ceid=IN%3Aen,"TV Actress Jannat Zubair Gets SLAPPED By A Girl In Her Latest Video, Her Reaction is EPIC - WATCH"
https://news.google.com/./articles/CBMivQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL2V2ZXJ5b25lLWdldHMtcHJlc3N1cml6ZWQtYnV0LWl0cy1pbXBvcnRhbnQtbm90LXRvLWJvdy1kb3duLWphbm5hdC16dWJhaXItcmVobWFuaS1vZi10dS1hYXNoaXF1aS1vbi1raXNzaW5nLXNjZW5lcy9hcnRpY2xlc2hvdy82MzQxMDMyOS5jbXPSAbgBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9ldmVyeW9uZS1nZXRzLXByZXNzdXJpemVkLWJ1dC1pdHMtaW1wb3J0YW50LW5vdC10by1ib3ctZG93bi1qYW5uYXQtenViYWlyLXJlaG1hbmktb2YtdHUtYWFzaGlxdWktb24ta2lzc2luZy1zY2VuZXMvYW1wX2FydGljbGVzaG93LzYzNDEwMzI5LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,Everyone gets pressurized but it’s important not to bow down: Jannat Zubair Rehmani of Tu Aashiqui on kis
https://news.google.com/./articles/CAIiELwEFMPlOzUnZ919NFn7SBIqGQgEKhAIACoHCAowzrL9CjDC7vQCMNG6owY?hl=en-IN&gl=IN&ceid=IN%3Aen,Gaana launches TikTok rival ‘HotShots’ in India
https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vbGlmZXN0eWxlL2Zhc2hpb24vZmFzaGlvbi1ub3Rlcy1qYW5uYXQtenViYWlyLTE5MTIxMdIBVWh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vbGlmZXN0eWxlL2Zhc2hpb24vZmFzaGlvbi1ub3Rlcy1qYW5uYXQtenViYWlyLTE5MTIxMT9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,FASHION NOTES with Jannat Zubair…
https://news.google.com/./articles/CBMipAFodHRwczovL3d3dy5kZXNpbWFydGluaS5jb20vbmV3cy9tYXJ0aW5pLXNob3RzL3R2L2VpZC0yMDIwLWhpbmEta2hhbi1zaG9haWItaWJyYWhpbS1qYW5uYXQtenViYWlyLWFuZC1vdGhlci10di1zdGFycy1zaGFyZS10aGVpci1ha2hyaS1qdW1tYS1wb3N0cy1hcnRpY2xlMTQ0MTYyLmh0bdIBpgFodHRwczovL20uZGVzaW1hcnRpbmkuY29tL25ld3MvYW1wL21hcnRpbmktc2hvdHMvdHYvZWlkLTIwMjAtaGluYS1raGFuLXNob2FpYi1pYnJhaGltLWphbm5hdC16dWJhaXItYW5kLW90aGVyLXR2LXN0YXJzLXNoYXJlLXRoZWlyLWFraHJpLWp1bW1hLXBvc3RzLWFydGljbGUxNDQxNjIuaHRt?hl=en-IN&gl=IN&ceid=IN%3Aen,"Eid 2020: Hina Khan, Shoaib Ibrahim, Jannat Zubair And Other TV Stars Share Their Akhri Jumma Posts!"
https://news.google.com/./articles/CAIiEBocmPsuS4PqeiO5SsNjl_IqGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Fashion Street Style Cool Looks
https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy9qYW5uYXQtenViYWlyLXMtaG9ycmlibGUtd2FyZHJvYmUtbWFsZnVuY3Rpb24taW52aXRlcy1uZWdhdGl2ZS1jb21tZW50cy0xOTEwMDnSAXpodHRwczovL3d3dy50ZWxseWNoYWtrYXIuY29tL3R2L3R2LW5ld3MvamFubmF0LXp1YmFpci1zLWhvcnJpYmxlLXdhcmRyb2JlLW1hbGZ1bmN0aW9uLWludml0ZXMtbmVnYXRpdmUtY29tbWVudHMtMTkxMDA5P2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair’s HORRIBLE WARDROBE MALFUNCTION invites negative comments
https://news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vY2VsZWJzL3R2L2phbm5hdC16dWJhaXItcmFobWFuadIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rahmani
https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnRoZWluZGlhbndpcmUuY29tL2VudGVydGFpbm1lbnQvamFubmF0LXp1YmFpci1yYWhtYW5pLWNyZWF0aW5nLWZhaXJ5bGFuZC1waG90by0xNjE1MTUv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rahmani is creating her own fairyland [Photo]
https://news.google.com/./articles/CAIiELpR7H2yHZxveSLbdRG4dp8qGQgEKhAIACoHCAowzcqECzDZuYEDMPq6tgY?hl=en-IN&gl=IN&ceid=IN%3Aen,TikTok star Jannat Zubair to feature in a music video with Rohan Mehra
https://news.google.com/./articles/CAIiEILWSdKHm_Ep2T6m18f-5w8qMwgEKioIACIQNOSU--BdxeOU9EKlkyXaNioUCAoiEDTklPvgXcXjlPRCpZMl2jYwhOrEBg?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair’s recalls a memorable FAN MOMENT
https://news.google.com/./articles/CBMingFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL2Zyb20tc2lkZGhhcnRoLW5pZ2FtLWphbm5hdC16dWJhaXItcmVobWFuaS10by1hdm5lZXQta2F1ci15b3VuZy1icmlnYWRlLXRha2Utb3Zlci10di9waG90b3N0b3J5LzY2NjM5Mzg0LmNtc9IBmwFodHRwczovL20udGltZXNvZmluZGlhLmNvbS90di9uZXdzL2hpbmRpL2Zyb20tc2lkZGhhcnRoLW5pZ2FtLWphbm5hdC16dWJhaXItcmVobWFuaS10by1hdm5lZXQta2F1ci15b3VuZy1icmlnYWRlLXRha2Utb3Zlci10di9hbXBfZXRwaG90b3N0b3J5LzY2NjM5Mzg0LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,"From Siddharth Nigam, Jannat Zubair Rehmani to Avneet Kaur: Young brigade take over TV"
https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy9qYW5uYXQtenViYWlyLWRlZmVhdHMtZGl2eWFua2EtdHJpcGF0aGktMTkxMjI20gFaaHR0cHM6Ly93d3cudGVsbHljaGFra2FyLmNvbS90di90di1uZXdzL2phbm5hdC16dWJhaXItZGVmZWF0cy1kaXZ5YW5rYS10cmlwYXRoaS0xOTEyMjY_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair DEFEATS Divyanka Tripathi !
